replicate,T_K,T_C,t_eq,ErrTraj,t_eq_mi
1,283.15,10,1000,0.326228523,1000
1,285.15,12,1000,0.597007125,1000
1,287.15,14,1000,0.32388412,874.3718593
1,289.15,16,1000,0.102777221,1000
1,291.15,18,1000,0.141121634,1000
1,293.15,20,934.6733668,0.263913432,708.5427136
1,295.15,22,1000,-0.054463438,1000
1,297.15,24,1000,0.532900574,643.2160804
1,299.15,26,1000,0.234194196,1000
1,301.15,28,1000,0.188426732,1000
1,303.15,30,969.8492462,-0.143711732,90.45226131
1,305.15,32,1000,0.005671478,1000
1,307.15,34,1000,0.148515539,1000
1,309.15,36,221.1055276,0.314997521,150.7537688
1,311.15,38,763.8190955,1.178087511,517.5879397
1,313.15,40,201.0050251,0.028163546,201.0050251
2,283.15,10,1000,0.464497419,1000
2,285.15,12,1000,0.903631145,1000
2,287.15,14,1000,0.475119753,1000
2,289.15,16,1000,0.187154827,1000
2,291.15,18,1000,0.0268843,1000
2,293.15,20,1000,0.307528628,924.6231156
2,295.15,22,417.0854271,0.802208052,281.4070352
2,297.15,24,1000,0.075170731,351.758794
2,299.15,26,1000,0.099671724,1000
2,301.15,28,648.241206,0.034000385,170.8542714
2,303.15,30,537.6884422,-8.300286037,90.45226131
2,305.15,32,1000,-0.007742984,1000
2,307.15,34,396.9849246,0.514879035,376.8844221
2,309.15,36,713.5678392,-0.063176033,165.8291457
2,311.15,38,1000,0.219650278,1000
2,313.15,40,241.2060302,0.019424442,236.1809045
3,283.15,10,1000,0.498892735,1000
3,285.15,12,1000,0.486687702,1000
3,287.15,14,1000,0.252413232,1000
3,289.15,16,1000,0.195878266,1000
3,291.15,18,1000,0.007585035,1000
3,293.15,20,1000,0.453968964,1000
3,295.15,22,1000,-0.132384036,1000
3,297.15,24,844.2211055,1.244077019,738.6934673
3,299.15,26,1000,0.198176411,1000
3,301.15,28,1000,0.499691115,914.5728643
3,303.15,30,236.1809045,1.531039814,135.678392
3,305.15,32,1000,-0.029759901,758.7939698
3,307.15,34,1000,0.295411641,1000
3,309.15,36,276.3819095,0.234888564,110.5527638
3,311.15,38,1000,-0.006475047,371.8592965
3,313.15,40,346.7336683,0.005043559,221.1055276
4,283.15,10,1000,0.489861956,1000
4,285.15,12,1000,0.099005324,854.2713568
4,287.15,14,1000,0.158049599,683.4170854
4,289.15,16,1000,0.129102122,1000
4,291.15,18,1000,0.298171111,1000
4,293.15,20,1000,0.080593469,1000
4,295.15,22,1000,0.637548411,889.4472362
4,297.15,24,1000,1.331167293,939.6984925
4,299.15,26,1000,0.054450342,613.0653266
4,301.15,28,1000,0.800170218,914.5728643
4,303.15,30,522.6130653,0.173377536,80.40201005
4,305.15,32,1000,0.266939886,1000
4,307.15,34,1000,0.198982622,1000
4,309.15,36,502.5125628,0.0239936,216.080402
4,311.15,38,914.5728643,0.154477883,809.0452261
4,313.15,40,286.4321608,0.248566975,256.281407
5,283.15,10,1000,0.198908646,1000
5,285.15,12,1000,0.465717676,804.0201005
5,287.15,14,1000,0.27420925,1000
5,289.15,16,1000,0.331193996,1000
5,291.15,18,1000,0.096960351,1000
5,293.15,20,1000,0.25451352,638.1909548
5,295.15,22,1000,0.691931237,1000
5,297.15,24,1000,0.180896348,422.1105528
5,299.15,26,1000,0.148719258,1000
5,301.15,28,1000,0.203566511,1000
5,303.15,30,628.1407035,0.395736768,170.8542714
5,305.15,32,1000,-0.049903401,597.9899497
5,307.15,34,487.4371859,-0.044026996,482.4120603
5,309.15,36,552.7638191,0.059698986,256.281407
5,311.15,38,628.1407035,0.037609639,241.2060302
5,313.15,40,206.0301508,0.04875598,201.0050251
6,283.15,10,1000,0.518428058,1000
6,285.15,12,1000,0.525488793,1000
6,287.15,14,1000,0.069339538,1000
6,289.15,16,1000,0.218087443,1000
6,291.15,18,1000,0.085233672,1000
6,293.15,20,1000,0.403168261,1000
6,295.15,22,457.2864322,1.092249485,316.5829146
6,297.15,24,1000,0.182329611,708.5427136
6,299.15,26,1000,0.390803639,874.3718593
6,301.15,28,557.7889447,0.311716876,211.0552764
6,303.15,30,467.3366834,3.597354385,447.2361809
6,305.15,32,1000,0.019996517,914.5728643
6,307.15,34,939.6984925,0.103223136,653.2663317
6,309.15,36,1000,-2.419733043,145.7286432
6,311.15,38,899.4974874,0.134284838,316.5829146
6,313.15,40,190.9547739,0.020932994,190.9547739
7,283.15,10,1000,0.356590173,1000
7,285.15,12,1000,0.563727086,1000
7,287.15,14,1000,0.107908737,1000
7,289.15,16,1000,0.061414285,1000
7,291.15,18,1000,0.013770895,1000
7,293.15,20,1000,0.542034325,763.8190955
7,295.15,22,1000,0.562867845,1000
7,297.15,24,1000,0.74188431,1000
7,299.15,26,457.2864322,0.113645365,246.2311558
7,301.15,28,1000,0.551857687,592.9648241
7,303.15,30,120.6030151,0.772653233,65.32663317
7,305.15,32,1000,-0.022494234,768.8442211
7,307.15,34,396.9849246,0.142749665,261.3065327
7,309.15,36,678.3919598,-0.003493398,115.5778894
7,311.15,38,1000,0.055080977,376.8844221
7,313.15,40,246.2311558,0.015511127,246.2311558
8,283.15,10,1000,0.47041411,1000
8,285.15,12,1000,0.360802926,1000
8,287.15,14,1000,0.177401004,1000
8,289.15,16,1000,0.283939306,1000
8,291.15,18,1000,0.093342683,1000
8,293.15,20,597.9899497,1.088190588,517.5879397
8,295.15,22,628.1407035,0.175719086,432.160804
8,297.15,24,1000,0.246749446,572.8643216
8,299.15,26,1000,0.098325326,1000
8,301.15,28,1000,0.729680125,969.8492462
8,303.15,30,462.3115578,-3.895969489,115.5778894
8,305.15,32,924.6231156,0.559528485,733.6683417
8,307.15,34,482.4120603,0.104319959,286.4321608
8,309.15,36,487.4371859,0.052943576,135.678392
8,311.15,38,1000,0.17024037,366.8341709
8,313.15,40,206.0301508,0.066188321,206.0301508
9,283.15,10,1000,0.064573825,1000
9,285.15,12,1000,0.123369387,1000
9,287.15,14,804.0201005,0.060913422,613.0653266
9,289.15,16,1000,0.361274854,1000
9,291.15,18,1000,0.059788035,1000
9,293.15,20,949.7487437,0.562052161,859.2964824
9,295.15,22,1000,0.075732345,1000
9,297.15,24,1000,0.498712076,1000
9,299.15,26,1000,0.143597158,1000
9,301.15,28,648.241206,0.720636383,487.4371859
9,303.15,30,190.9547739,0.720480831,70.35175879
9,305.15,32,1000,-0.072840188,1000
9,307.15,34,211.0552764,0.083712057,155.7788945
9,309.15,36,1000,-0.027527553,170.8542714
9,311.15,38,1000,0.055505858,1000
9,313.15,40,306.5326633,0.043978259,261.3065327
10,283.15,10,1000,0.493956991,1000
10,285.15,12,1000,0.312110981,1000
10,287.15,14,1000,0.193123175,693.4673367
10,289.15,16,1000,0.257151034,1000
10,291.15,18,1000,0.046718775,1000
10,293.15,20,1000,0.448114957,1000
10,295.15,22,1000,0.007846252,1000
10,297.15,24,1000,0.936733567,1000
10,299.15,26,1000,0.116606032,633.1658291
10,301.15,28,663.3165829,0.204265847,381.9095477
10,303.15,30,402.0100503,0.613810535,85.42713568
10,305.15,32,1000,0.030575791,1000
10,307.15,34,341.7085427,0.836368646,261.3065327
10,309.15,36,281.4070352,0.211500286,95.47738693
10,311.15,38,577.8894472,0.247625555,261.3065327
10,313.15,40,190.9547739,0.060349155,190.9547739
11,283.15,10,1000,0.26120667,1000
11,285.15,12,1000,0.115262383,1000
11,287.15,14,1000,0.400413457,1000
11,289.15,16,1000,0.229328792,1000
11,291.15,18,1000,0.075526375,974.8743719
11,293.15,20,1000,0.187100572,1000
11,295.15,22,1000,0.641147891,1000
11,297.15,24,1000,0.342454497,1000
11,299.15,26,1000,0.073724854,1000
11,301.15,28,407.0351759,0.815345613,150.7537688
11,303.15,30,306.5326633,2.125493687,301.5075377
11,305.15,32,1000,0.073054538,1000
11,307.15,34,1000,0.084842212,1000
11,309.15,36,633.1658291,-2.357395244,170.8542714
11,311.15,38,1000,1.116252468,929.6482412
11,313.15,40,251.2562814,0.018392456,251.2562814
12,283.15,10,1000,0.529108571,1000
12,285.15,12,1000,0.713741609,1000
12,287.15,14,1000,0.145499495,1000
12,289.15,16,1000,0.2603844,1000
12,291.15,18,1000,0.01284278,1000
12,293.15,20,1000,0.392740751,1000
12,295.15,22,778.8944724,1.297446342,592.9648241
12,297.15,24,1000,-0.159281167,773.8693467
12,299.15,26,1000,0.195686243,1000
12,301.15,28,542.7135678,0.657124818,211.0552764
12,303.15,30,1000,-2.715304126,758.7939698
12,305.15,32,1000,-0.090420548,939.6984925
12,307.15,34,316.5829146,0.576567144,276.3819095
12,309.15,36,316.5829146,0.200850694,145.7286432
12,311.15,38,326.6331658,0.198729647,236.1809045
12,313.15,40,251.2562814,0.007508407,251.2562814
13,283.15,10,1000,0.288746256,1000
13,285.15,12,1000,0.529112594,824.120603
13,287.15,14,1000,0.171656856,1000
13,289.15,16,1000,0.297490578,1000
13,291.15,18,1000,0.025919237,1000
13,293.15,20,1000,0.514660153,1000
13,295.15,22,442.2110553,1.711989673,386.9346734
13,297.15,24,1000,-0.694558409,1000
13,299.15,26,1000,0.265634852,1000
13,301.15,28,381.9095477,0.733250575,276.3819095
13,303.15,30,1000,0.076612287,105.5276382
13,305.15,32,1000,-0.022339982,1000
13,307.15,34,1000,0.242324571,1000
13,309.15,36,663.3165829,-0.029072858,105.5276382
13,311.15,38,959.798995,0.010953042,427.1356784
